상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌,통합주문건수
Dot Cozy Dumpling Bag Navy,공통,267.0,185.0,82.0,29916699.0,17353597.0,12563102.0,112048.0,266.0,184.0,82.0,2025-06-20,25 SS 03,266.0
Dot Cozy Bao Bag Navy,공통,262.0,251.0,11.0,15715109.0,14691600.0,1023509.0,59981.0,261.0,250.0,11.0,2025-06-20,25 SS 03,261.0
Star Dimsum Tote Bag Charcoal,공통,260.0,128.0,132.0,28121195.0,11518740.0,16602455.0,108158.0,260.0,128.0,132.0,2025-07-02,25 SS 03,260.0
Cotton Ribbon Shorts Navy,공통,259.0,234.0,25.0,12280135.0,10590705.0,1689430.0,47414.0,253.0,228.0,25.0,2025-01-02,캐리오버,253.0
Heart Puffer Jacket Check Blue,공통,244.0,230.0,14.0,35948721.0,33492600.0,2456121.0,147331.0,244.0,230.0,14.0,2025-01-01,24 08 FW,244.0
Lace Inner Shorts White,공통,251.0,212.0,39.0,7110050.0,4466865.0,2643185.0,28327.0,246.0,208.0,38.0,2025-05-17,25 SS 02,246.0
Hand Warmer L/S Pale Violet,공통,227.0,160.0,67.0,16861662.0,9917050.0,6944612.0,74280.0,223.0,157.0,66.0,2025-09-13,25 FW 01,223.0
Mossy Slip Dress Khaki,공통,223.0,178.0,45.0,19585706.0,13557500.0,6028206.0,87828.0,222.0,177.0,45.0,2025-09-10,25 FW 01,222.0
Dot Cozy Dumpling Bag Brown,공통,213.0,79.0,134.0,36590677.0,10161200.0,26429477.0,171787.0,210.0,77.0,133.0,2025-09-08,25 FW 가방 1차,210.0
Star Dimsum Bag Charcoal,공통,211.0,77.0,134.0,31165740.0,8301700.0,22864040.0,147705.0,210.0,77.0,133.0,2025-09-07,25 SS 03,210.0
Leather Bao Bag Black,공통,187.0,185.0,2.0,10622573.0,10408880.0,213693.0,56805.0,186.0,184.0,2.0,2025-01-03,24 홀리데이컬렉션,186.0
Dot Cozy Dumpling Bag Skyblue,공통,175.0,124.0,51.0,17948114.0,11296220.0,6651894.0,102561.0,175.0,124.0,51.0,2025-05-17,25 SS 02,175.0
Ribbon Logo Slim Tee White,공통,175.0,162.0,13.0,5029653.0,4110470.0,919183.0,28741.0,168.0,157.0,11.0,2025-01-17,캐리오버,168.0
Stilla Lace L/S Ivory,공통,166.0,130.0,36.0,10879556.0,7293000.0,3586556.0,65539.0,166.0,130.0,36.0,2025-09-10,25 FW 01,166.0
Ribbon Logo Slim Tee Navy,공통,167.0,143.0,24.0,5522711.0,3786660.0,1736051.0,33070.0,165.0,142.0,23.0,2025-01-14,캐리오버,165.0
Removable Shearling Knit Hoodie Zip Brown,공통,164.0,110.0,54.0,23005261.0,14671000.0,8334261.0,140276.0,163.0,110.0,54.0,2025-09-10,25 FW 01,164.0
Dot Cozy Bao Bag Skyblue,공통,163.0,140.0,23.0,9932658.0,7405620.0,2527038.0,60937.0,161.0,139.0,23.0,2025-05-17,25 SS 02,162.0
Mini Chocolate Blush Mori Dimsum Bag,공통,197.0,51.0,146.0,30084849.0,6614400.0,23470449.0,152715.0,191.0,48.0,143.0,2026-04-11,26 SS 01,191.0
Butterfly Angel Dress Ivory,공통,155.0,138.0,17.0,9671953.0,8212815.0,1459138.0,62400.0,155.0,138.0,17.0,2025-05-17,25 SS 02,155.0
Leopard Dimsum Bag Beige,공통,152.0,75.0,77.0,24163549.0,9344160.0,14819389.0,158971.0,152.0,75.0,77.0,2025-09-07,25 FW 가방 1차,152.0
Wool Check Hoodie Jacket Navy,공통,143.0,130.0,13.0,25130393.0,22981100.0,2149293.0,175737.0,143.0,130.0,13.0,2025-01-01,24 홀리데이컬렉션,143.0
Star Lace Hand Warmer,공통,145.0,118.0,27.0,3352155.0,1525520.0,1826635.0,23118.0,142.0,115.0,27.0,2025-05-17,25 SS 02,142.0
Glaze Vanilla Dimsum Bag,공통,184.0,136.0,48.0,25136362.0,16211200.0,8925162.0,136611.0,184.0,136.0,48.0,2026-04-15,26 SS 01,184.0
Washed Leopard Dumpling Bag Pink,공통,120.0,59.0,61.0,18968590.0,7622800.0,11345790.0,158072.0,120.0,59.0,61.0,2025-09-07,25 FW 가방 1차,120.0
Leather Bao Bag Brown,공통,117.0,114.0,3.0,6667114.0,6381222.0,285892.0,56984.0,117.0,114.0,3.0,2025-01-01,24 홀리데이컬렉션,117.0
Stripe Lace Tie Shirt Blue,공통,115.0,83.0,32.0,12019561.0,8209795.0,3809766.0,104518.0,115.0,83.0,32.0,2025-01-03,24 08 FW,115.0
Shade Tied Dress Charcoal,공통,115.0,68.0,47.0,15233903.0,8092000.0,7141903.0,132469.0,114.0,68.0,46.0,2025-09-10,25 FW 01,114.0
Knit Highneck Double Jacket Dark Gray,공통,112.0,102.0,10.0,14064143.0,12342000.0,1722143.0,125573.0,112.0,102.0,10.0,2026-02-05,26 VT,112.0
Mushroom Pocket Tie Half Shirts Black,공통,110.0,69.0,41.0,8742088.0,4398750.0,4343338.0,79474.0,108.0,68.0,40.0,2025-09-10,25 FW 01,108.0
Washed Leopard Pillow Bag Pink,공통,110.0,62.0,48.0,18870828.0,8645000.0,10225828.0,171553.0,110.0,62.0,48.0,2025-12-14,25 FW 02,110.0
Blue Hour Stripe Lace Tie Shirt Blue,공통,108.0,96.0,12.0,7434622.0,6310300.0,1124322.0,68839.0,107.0,95.0,12.0,2025-04-15,25 SS 01,107.0
Dot Denim Hoodie Jacket Deep Blue,공통,108.0,106.0,2.0,15337251.0,15086370.0,250881.0,142012.0,108.0,106.0,2.0,2025-04-12,25 SS 01,108.0
Hockey Jersey Navy,공통,107.0,97.0,10.0,14836239.0,13525330.0,1310909.0,138656.0,107.0,97.0,10.0,2025-01-02,24 08 FW,107.0
Eco Fur Pillow Bag Brown,공통,107.0,69.0,38.0,17934375.0,10383500.0,7550875.0,167611.0,107.0,69.0,38.0,2025-09-09,25 FW 가방 1차,107.0
Sheer Dot Hand Warmer Beige,공통,101.0,84.0,17.0,2394372.0,1096010.0,1298362.0,23707.0,96.0,79.0,17.0,2025-05-18,25 SS 02,96.0
Pom Pom Knit Half Top Beige,공통,100.0,81.0,19.0,8764300.0,6334200.0,2430100.0,87643.0,100.0,81.0,19.0,2025-09-10,25 FW 01,100.0
Mushroom Pocket Tie Half Shirts Beige,공통,102.0,63.0,39.0,8419825.0,3780000.0,4639825.0,82547.0,102.0,63.0,39.0,2025-09-12,25 FW 01,102.0
Charm Holder Backpack Patchwork,공통,105.0,53.0,52.0,15749742.0,6245000.0,9504742.0,149998.0,104.0,52.0,52.0,2026-01-22,25 FW 02,104.0
Endot Blazer Jacket Navy,공통,99.0,92.0,7.0,11156034.0,10337630.0,818404.0,112687.0,99.0,92.0,7.0,2025-04-10,25 SS 01,99.0
Eco Fur Dumpling Bag Brown,공통,98.0,59.0,39.0,13998514.0,7014800.0,6983714.0,142842.0,98.0,59.0,39.0,2025-09-08,25 FW 가방 1차,98.0
Buttons Collar Dress White,공통,97.0,90.0,7.0,9029134.0,8266145.0,762989.0,93084.0,97.0,90.0,7.0,2025-05-17,25 SS 02,97.0
Stripe Polo Hockey Jersey Blue,공통,97.0,96.0,1.0,9348095.0,9244895.0,103200.0,96372.0,96.0,95.0,1.0,2025-04-10,25 SS 01,96.0
Eco Fur Dimsum Bag Brown,공통,97.0,56.0,41.0,15488336.0,7257600.0,8230736.0,159674.0,97.0,56.0,41.0,2025-09-08,25 FW 가방 1차,97.0
Dot Cozy Bao Bag Brown,공통,96.0,66.0,30.0,9226604.0,4900500.0,4326104.0,96110.0,96.0,66.0,30.0,2025-09-10,25 FW 가방 1차,96.0
Jelly Dimsum Bag Lemon,공통,98.0,80.0,18.0,11433137.0,8400000.0,3033137.0,116665.0,74.0,80.0,18.0,2026-05-11,26 HS 핫썸머,98.0
Jelly Dimsum Bag Mint,공통,97.0,62.0,35.0,12489919.0,6510000.0,5979919.0,128762.0,61.0,57.0,35.0,2026-05-11,26 HS 핫썸머,92.0
[Setup] Ribbon Layerd Tee White,공통,93.0,82.0,11.0,5126229.0,4389550.0,736679.0,55121.0,89.0,78.0,11.0,2025-05-17,25 SS 02,89.0
Stripe My Little Star L/S Blue,공통,93.0,81.0,12.0,3830624.0,2980980.0,849644.0,41190.0,93.0,81.0,12.0,2025-04-13,25 SS 01,93.0
Chocolate Blush Mori Dimsum Bag,공통,111.0,31.0,80.0,19076514.0,3868800.0,15207714.0,171860.0,108.0,29.0,79.0,2026-04-11,26 SS 01,108.0
Leopard Bao Bag Charcoal,공통,92.0,69.0,23.0,8280527.0,5067000.0,3213527.0,90006.0,92.0,69.0,23.0,2025-09-07,25 FW 가방 1차,92.0
Fleece & Wool Check Crop Jacket Navy,공통,91.0,83.0,8.0,11193987.0,10188000.0,1005987.0,123011.0,91.0,83.0,8.0,2025-01-01,24 홀리데이컬렉션,91.0
Rosie Woolly Off Shouler Rose Gray,공통,90.0,51.0,39.0,7716000.0,3066600.0,4649400.0,85733.0,90.0,51.0,39.0,2026-02-07,26 VT,90.0
Buttons Baby Tee Green,공통,86.0,77.0,9.0,3536470.0,2873895.0,662575.0,41122.0,85.0,76.0,9.0,2025-05-20,25 SS 02,85.0
Moldy Pigment Long Skirt Rose Gray,공통,81.0,53.0,28.0,9356247.0,5898550.0,3457697.0,115509.0,81.0,53.0,28.0,2025-09-13,25 FW 01,81.0
Star Bao Bag Charcoal,공통,81.0,70.0,11.0,5236519.0,4192650.0,1043869.0,64648.0,81.0,70.0,11.0,2025-07-01,25 SS 03,81.0
Mossy Slip Dress Dusty Pink,공통,83.0,66.0,17.0,6910411.0,5054500.0,1855911.0,83258.0,83.0,66.0,17.0,2025-09-10,25 FW 01,83.0
Vine Knit Charcoal,공통,79.0,53.0,26.0,8320500.0,4752000.0,3568500.0,105323.0,79.0,53.0,26.0,2025-09-10,25 FW 01,79.0
Endot Blazer Jacket Charcoal,공통,77.0,68.0,9.0,8252008.0,7244650.0,1007358.0,107169.0,77.0,68.0,9.0,2025-04-11,25 SS 01,77.0
[Setup] Sheer Dot Layerd Tee Navy,공통,76.0,63.0,13.0,4084746.0,3336728.0,748018.0,53747.0,76.0,63.0,13.0,2025-05-17,25 SS 02,76.0
Blooming Tie Shirt Ivory,공통,75.0,60.0,15.0,5258890.0,3988450.0,1270440.0,70119.0,74.0,59.0,15.0,2025-04-10,25 SS 01,74.0
Balloon Mini Skirt Navy,공통,73.0,69.0,4.0,4070043.0,3598965.0,471078.0,55754.0,72.0,68.0,4.0,2025-01-03,24 08 FW,72.0
Ribbon Logo Tee White,공통,75.0,73.0,2.0,2839904.0,2748825.0,91079.0,37865.0,75.0,73.0,2.0,2025-01-26,캐리오버,75.0
Charm Holder Backpack Khaki,공통,81.0,37.0,44.0,12629484.0,4151000.0,8478484.0,155920.0,80.0,36.0,44.0,2026-01-23,25 FW 02,80.0
Double Velvet Ties Shirt Navy,공통,72.0,46.0,26.0,6160106.0,3559780.0,2600326.0,85557.0,72.0,46.0,26.0,2025-01-05,24 08 FW,72.0
Knit Hockey Jersey Navy,공통,72.0,63.0,9.0,5070271.0,4260475.0,809796.0,70420.0,72.0,63.0,9.0,2025-04-18,25 SS 01,72.0
Knit Pleats Skirt Dark Gray,공통,72.0,58.0,14.0,5396917.0,3614000.0,1782917.0,74957.0,71.0,58.0,14.0,2026-02-07,26 VT,72.0
Stripe Lace Tie Shirt Ivory,공통,71.0,55.0,16.0,6327974.0,4391810.0,1936164.0,89126.0,71.0,55.0,16.0,2025-01-03,24 08 FW,71.0
Moldy Pigment Long Skirt Brown,공통,70.0,48.0,22.0,8229926.0,5426400.0,2803526.0,117570.0,69.0,48.0,21.0,2025-09-13,25 FW 01,69.0
Dot Buttons Knit Double Jacket Navy,공통,70.0,69.0,1.0,5269685.0,5177925.0,91760.0,75281.0,70.0,69.0,1.0,2025-04-09,25 SS 01,70.0
Berry BadBear Tee White,공통,68.0,61.0,7.0,2790790.0,2318940.0,471850.0,41041.0,65.0,59.0,7.0,2025-01-07,배드베어,66.0
Buttons Baby Tee White,공통,68.0,59.0,9.0,2417253.0,1884255.0,532998.0,35548.0,68.0,59.0,9.0,2025-05-18,25 SS 02,68.0
Blooming Tie Shirt Blue,공통,68.0,61.0,7.0,4667368.0,3953545.0,713823.0,68638.0,67.0,60.0,7.0,2025-04-11,25 SS 01,67.0
Glaze Pearl Gray Dimsum Bag,공통,86.0,44.0,42.0,12746819.0,5244800.0,7502019.0,148219.0,86.0,44.0,42.0,2026-04-11,26 SS 01,86.0
Cotton Ribbon Shorts White,공통,68.0,64.0,4.0,3332725.0,3027145.0,305580.0,49011.0,67.0,63.0,4.0,2025-01-02,캐리오버,67.0
Polo Hockey Jersey Navy,공통,67.0,63.0,4.0,5094971.0,4729170.0,365801.0,76044.0,67.0,63.0,4.0,2025-04-09,25 SS 01,67.0
Star Lace Leg Warmer,공통,68.0,51.0,17.0,1907040.0,892920.0,1014120.0,28045.0,68.0,51.0,17.0,2025-05-17,25 SS 02,68.0
Wool Check Duffle Coat Navy,공통,66.0,64.0,2.0,10982987.0,10714100.0,268887.0,166409.0,66.0,64.0,2.0,2025-01-01,24 홀리데이컬렉션,66.0
Knit Hockey Jersey Skyblue,공통,64.0,62.0,2.0,3784039.0,3653350.0,130689.0,59126.0,64.0,62.0,2.0,2025-04-12,25 SS 01,64.0
P Pleats Mid Skirt Navy,공통,63.0,56.0,7.0,3582438.0,2937420.0,645018.0,56864.0,63.0,56.0,7.0,2025-04-10,25 SS 01,63.0
Stilla Lace L/S Khaki,공통,63.0,50.0,13.0,4194712.0,2814900.0,1379812.0,66583.0,63.0,50.0,13.0,2025-09-12,25 FW 01,63.0
Pocket Pleats Shorts Skirt Navy,공통,65.0,56.0,9.0,3041050.0,2242595.0,798455.0,46785.0,65.0,56.0,9.0,2025-04-23,25 SS 01,65.0
Double Velvet Ties Shirt Butter,공통,63.0,51.0,12.0,4320597.0,3141280.0,1179317.0,68581.0,63.0,51.0,12.0,2025-01-07,24 08 FW,63.0
Flare Bambi Shearling Mini Coat Ivory,공통,64.0,49.0,15.0,10416740.0,7596000.0,2820740.0,162762.0,63.0,49.0,15.0,2025-12-13,25 FW 02,64.0
Bite Apple Key Chain,공통,61.0,30.0,31.0,3224480.0,696020.0,2528460.0,52860.0,58.0,30.0,29.0,2025-07-04,25 SS 03,59.0
Balloon Mini Skirt Cream,공통,61.0,57.0,4.0,2920365.0,2672515.0,247850.0,47875.0,55.0,51.0,4.0,2025-01-19,24 08 FW,55.0
Earflap Beanie Light Blue,공통,61.0,52.0,9.0,2104119.0,1374680.0,729439.0,34494.0,60.0,51.0,9.0,2025-01-01,24 홀리데이컬렉션,60.0
Earflap Beanie Ivory,공통,60.0,50.0,10.0,1903981.0,1213915.0,690066.0,31733.0,59.0,49.0,10.0,2025-01-06,24 홀리데이컬렉션,59.0
Hand Warmer Stripe L/S Charcoal,공통,59.0,42.0,17.0,4540738.0,2606100.0,1934638.0,76962.0,59.0,42.0,17.0,2025-09-10,25 FW 01,59.0
Cottage Bambi Fur Trooper Hat Brown,공통,61.0,45.0,16.0,4993672.0,2680000.0,2313672.0,81863.0,61.0,45.0,16.0,2025-12-16,25 FW 02,61.0
Dot Denim Hoodie Jacket Light Blue,공통,59.0,48.0,11.0,7917399.0,6651110.0,1266289.0,134193.0,59.0,48.0,11.0,2025-04-11,25 SS 01,59.0
Check Hoodie Jacket Navy,공통,58.0,46.0,12.0,8684318.0,7183500.0,1500818.0,149730.0,58.0,46.0,12.0,2025-04-15,25 SS 01,58.0
Logo Tee Navy,공통,57.0,50.0,7.0,2274020.0,1765625.0,508395.0,39895.0,57.0,50.0,7.0,2025-02-14,캐리오버,57.0
Dot Buttons Knit Double Jacket Gray,공통,57.0,54.0,3.0,4468427.0,4082655.0,385772.0,78393.0,57.0,54.0,3.0,2025-04-09,25 SS 01,57.0
Baby Sheeps Fleece Jacket Ivory,공통,60.0,45.0,15.0,6820815.0,4809750.0,2011065.0,113680.0,59.0,45.0,15.0,2025-12-16,25 FW 02,60.0
Baby Sheeps Ear Fleece Zip-up Crop Hoodie Ivory,공통,57.0,42.0,15.0,6436999.0,4280000.0,2156999.0,112930.0,57.0,42.0,15.0,2025-12-16,25 FW 02,57.0
Check Angel Dress Beige,공통,57.0,41.0,16.0,3872808.0,2687645.0,1185163.0,67944.0,57.0,41.0,16.0,2025-07-05,25 SS 03,57.0
Sheer Dot Leg Warmer Beige,공통,58.0,47.0,11.0,1570559.0,812625.0,757934.0,27079.0,55.0,44.0,11.0,2025-05-17,25 SS 02,55.0
Love Message One Shoulder L/S Ivory,공통,59.0,53.0,6.0,2675087.0,2000000.0,675087.0,45340.0,59.0,53.0,6.0,2026-02-06,26 VT,59.0
Stripe Lace Tie Shirt Pink,공통,54.0,35.0,19.0,4662905.0,2491920.0,2170985.0,86350.0,54.0,35.0,19.0,2025-04-10,25 SS 01,54.0
Ink Dimsum Bag,공통,73.0,28.0,45.0,11267996.0,3337600.0,7930396.0,154356.0,73.0,28.0,45.0,2026-04-11,26 SS 01,73.0
Check Angel Dress Mint,공통,52.0,47.0,5.0,3561103.0,3139180.0,421923.0,68483.0,52.0,47.0,5.0,2025-07-03,25 SS 03,52.0
Shade Tied Dress Jade,공통,52.0,35.0,17.0,6651346.0,4165000.0,2486346.0,127910.0,51.0,34.0,17.0,2025-09-10,25 FW 01,51.0
Charm Holder Backpack Sage Green,공통,58.0,38.0,20.0,8045649.0,4120000.0,3925649.0,138718.0,58.0,38.0,20.0,2026-01-23,25 FW 02,58.0
Puffed Rain Jacket White,공통,52.0,39.0,13.0,5064400.0,3737580.0,1326820.0,97392.0,50.0,37.0,13.0,2025-07-02,25 SS 03,50.0
Stripe Hoodie Cardigan Blue,공통,51.0,49.0,2.0,3932008.0,3785784.0,146224.0,77098.0,51.0,49.0,2.0,2025-01-02,24 홀리데이컬렉션,51.0
Leather Cowboy Boots Brown,공통,51.0,49.0,2.0,4884729.0,4637310.0,247419.0,95779.0,51.0,49.0,2.0,2025-01-07,24 08 FW,51.0
My Little Star Shorts Navy,공통,51.0,38.0,13.0,3242483.0,2128380.0,1114103.0,63578.0,51.0,38.0,13.0,2025-07-02,25 SS 03,51.0
Check Puffed Rain Jacket Blue,공통,50.0,36.0,14.0,4058253.0,2617452.0,1440801.0,81165.0,49.0,36.0,14.0,2025-07-02,25 SS 03,50.0
Pocket Pleats Shorts Skirt Charocal,공통,50.0,40.0,10.0,2372767.0,1483440.0,889327.0,47455.0,50.0,40.0,10.0,2025-05-11,25 SS 01,50.0
P Pleats Mid Skirt Charcoal,공통,50.0,46.0,4.0,2580189.0,2286065.0,294124.0,51604.0,50.0,46.0,4.0,2025-04-16,25 SS 01,50.0
Vine Knit Light Khaki,공통,51.0,33.0,18.0,5199268.0,2616000.0,2583268.0,101946.0,51.0,33.0,18.0,2025-09-12,25 FW 01,51.0
Stary Night Frill Sleeveless Navy,공통,48.0,24.0,24.0,2682970.0,781400.0,1901570.0,55895.0,48.0,24.0,24.0,2025-07-03,25 SS 03,48.0
Logo Crop Zipup Jersey Navy,공통,48.0,45.0,3.0,3122330.0,2849200.0,273130.0,65049.0,48.0,45.0,3.0,2025-02-13,캐리오버,48.0
Ribbon Logo Sleeveless Navy,공통,48.0,41.0,7.0,1696018.0,1196932.0,499086.0,35334.0,46.0,39.0,7.0,2025-01-22,캐리오버,46.0
Stary Night Frill Sleeveless Skyblue,공통,47.0,20.0,27.0,2652388.0,591600.0,2060788.0,56434.0,47.0,20.0,27.0,2025-07-06,25 SS 03,47.0
Buttons Sprinkle Hoodie Shirt White,공통,47.0,32.0,15.0,4740806.0,3051795.0,1689011.0,100868.0,46.0,32.0,14.0,2025-07-05,25 SS 03,46.0
Jelly Dimsum Bag Peach,공통,47.0,24.0,23.0,6314864.0,2520000.0,3794864.0,134359.0,33.0,24.0,23.0,2026-05-11,26 HS 핫썸머,47.0
Cream Puff Dimsum Bag,공통,58.0,35.0,23.0,8269590.0,4172000.0,4097590.0,142579.0,57.0,34.0,23.0,2026-04-11,26 SS 01,57.0
Rosie Woolly Off Shouler Cream,공통,48.0,28.0,20.0,4088252.0,1668200.0,2420052.0,85172.0,47.0,28.0,20.0,2026-02-08,26 VT,48.0
Baby Sheeps Button Fleece Hoodie Jacket Ivory,공통,47.0,35.0,12.0,7398250.0,5295000.0,2103250.0,157410.0,45.0,35.0,12.0,2025-12-15,25 FW 02,47.0
Milky Way Hand Warmer White,공통,45.0,35.0,10.0,1145152.0,575170.0,569982.0,25448.0,44.0,34.0,10.0,2025-07-03,25 SS 03,44.0
Side Tie Dress Navy,공통,45.0,41.0,4.0,3173401.0,2874830.0,298571.0,70520.0,45.0,41.0,4.0,2025-01-09,24 08 FW,45.0
My Little Star L/S Mint,공통,45.0,41.0,4.0,1928673.0,1607540.0,321133.0,42859.0,45.0,41.0,4.0,2025-04-10,25 SS 01,45.0
Biker Jacket Ivory,공통,44.0,43.0,1.0,4094063.0,3986150.0,107913.0,93047.0,44.0,43.0,1.0,2025-01-15,24 08 FW,44.0
My Little Star L/S Purple,공통,44.0,37.0,7.0,1730158.0,1209200.0,520958.0,39322.0,44.0,37.0,7.0,2025-04-10,25 SS 01,44.0
Buttons Check Hoodie Shirt Blue,공통,46.0,40.0,6.0,4053384.0,3551250.0,502134.0,88117.0,46.0,40.0,6.0,2025-07-02,25 SS 03,46.0
Reversible Check Shearling Jacket Blue,공통,44.0,41.0,3.0,5198830.0,4785000.0,413830.0,118155.0,44.0,41.0,3.0,2025-12-18,25 FW 02,44.0
Side Tie Dress Oatmeal,공통,44.0,36.0,8.0,3057012.0,2486000.0,571012.0,69478.0,44.0,36.0,8.0,2025-01-06,24 08 FW,44.0
Lace Inner Shorts Gray,공통,43.0,38.0,5.0,1130587.0,799915.0,330672.0,26293.0,43.0,38.0,5.0,2025-07-02,25 SS 03,43.0
Doze Lace Sleeveless Mint,공통,47.0,43.0,4.0,2120037.0,1734300.0,385737.0,45107.0,47.0,43.0,4.0,2026-04-12,26 SS 01,47.0
My Little Star L/S Navy,공통,43.0,33.0,10.0,2027029.0,1331588.0,695441.0,47140.0,43.0,33.0,10.0,2025-04-11,25 SS 01,43.0
Sheer Dot Buttons Baby Tee Beige,공통,43.0,40.0,3.0,1727527.0,1552270.0,175257.0,40175.0,43.0,40.0,3.0,2025-05-18,25 SS 02,43.0
Earflap Beanie Brown,공통,42.0,35.0,7.0,1526830.0,890000.0,636830.0,36353.0,40.0,33.0,7.0,2025-01-12,24 홀리데이컬렉션,40.0
Cozy Pom Pom Dot Shearling Dumble Jumper Brown,국내전용,43.0,43.0,0.0,8424500.0,8424500.0,0.0,195919.0,43.0,43.0,0.0,2025-12-15,25 FW 02,43.0
Milky Way Leg Warmer White,공통,42.0,30.0,12.0,1317408.0,567060.0,750348.0,31367.0,41.0,29.0,12.0,2025-07-04,25 SS 03,41.0
BadBear Graphic Tee White,공통,40.0,38.0,2.0,1340335.0,1207399.0,132936.0,33508.0,36.0,34.0,2.0,2025-02-04,배드베어,36.0
Hand Warmer Stripe L/S Light Khaki,공통,40.0,28.0,12.0,2977767.0,1737400.0,1240367.0,74444.0,38.0,28.0,10.0,2025-09-10,25 FW 01,38.0
Velour Ear Zipup Crop Hoodie Navy,공통,40.0,34.0,6.0,3040489.0,2528665.0,511824.0,76012.0,40.0,34.0,6.0,2025-01-10,24 홀리데이컬렉션,40.0
Blooming Tie Shirt Pink,공통,39.0,28.0,11.0,2971776.0,1937800.0,1033976.0,76199.0,39.0,28.0,11.0,2025-04-17,25 SS 01,39.0
